"offer","brand","description","category","activated_date","expiration_date","url"
"SAVE $1.00","Disney drinks","on the purchase of ONE (1) 59 Fl. Oz. Disney drink, any variety","Beverages > Juice > Fruit","2020-04-19T00:01:00-0700","2020-06-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Jergens®","ONE (1) Jergens® Moisturizer or Body Wash (5 oz or larger)","Personal Care > Skin Care > Hand & Body Lotion","2020-05-03T00:01:00-0700","2020-05-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","TYLENOL®","on any (1) Adult TYLENOL®, TYLENOL® PM or SIMPLY SLEEP® product (excludes TYLENOL® Cold or Sinus and trial & travel sizes)","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2020-05-03T00:01:00-0700","2020-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢","Scrubbing Bubbles®","on any ONE (1) Scrubbing Bubbles® Bathroom Cleaning product","Household > Household Cleaners/ Supplies > Bathroom Cleaner","2020-05-03T00:01:00-0700","2020-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","Well Yes!®","when you buy ONE (1) Well Yes!® Soups or Sipping Soups any variety 11.1oz or larger","Foods > Soup > Soup","2020-05-03T00:01:00-0700","2020-06-13T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Aleve®","on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®)","Health Care > Sleeping Aids > Sleeping Aids","2020-05-03T00:01:00-0700","2020-07-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","Slow Kettle®","when you buy ONE (1) Slow Kettle® Style Soups, select varieties 15oz cup or larger","Foods > Soup > Soup","2020-05-03T00:01:00-0700","2020-06-13T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","Scrubbing Bubbles®","on any ONE (1) Scrubbing Bubbles® Toilet Bowl Cleaner product","Household > Household Cleaners/ Supplies > Bowl Cleaners","2020-05-03T00:01:00-0700","2020-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Skincare or Sublime Bronze product (excluding trial and travel sizes)","Personal Care > Skin Care > Facial Care","2020-05-03T00:01:00-0700","2020-05-24T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","GOLD BOND®","ONE (1) GOLD BOND® Ultimate Lotion or Cream (not valid on 1oz, trial or travel sizes)","Personal Care > Skin Care > Hand & Body Lotion","2020-05-03T00:01:00-0700","2020-06-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
